univ.rank,first_initial,last initial,numbers_of_citations_in_2017,numbers_of_citations_in_2018,numbers_of_citations_in_2019,numbers_of_citations_in_2020,numbers_of_citations_in_2021,numbers_of_citations_in_2022,numbers_of_citations_in_2023,i-10index
56,A,K,202,202,215,214,304,257,327,34
56,A,B,12,28,16,27,37,34,33,7
56,J,B,135,137,169,140,133,146,194,46
56,J,L,127,128,120,71,77,51,49,37
56,S,L,115,94,124,137,146,177,135,18
56,J,L,75,167,196,291,424,611,809,71
56,A,G,23,19,16,32,57,100,178,17
56,X,T,63,108,142,90,134,174,217,27
56,X,J,61,61,140,216,416,742,997,57
56,R,S,0,0,11,41,52,62,63,6
57, U, A,276,291,293,211,256,212,264,78
57, D, A,1730,1919,2089,2245,2232,1946,2079,134
57, S, B,21,26,37,45,77,84,86,15
57, N, B,182,205,240,289,324,439,477,42
57, G, B,903,954,1083,1095,1174,1049,1109,167
57, V, C,805,937,1063,963,1098,1108,1222,186
57, J, H,180,184,279,268,321,267,279,39
57, M, F,408,879,1219,1697,2158,2353,2679,54
57, D, G,1272,1257,1107,1048,1052,1063,920,256
57, P, H,1425,1608,1666,2163,2742,3345,3705,203
58,M,A,15,12,41,114,136,173,260,19
58,S,B,220,247,318,289,367,530,688,63
58,A,B,840,798,697,573,499,406,419,43
58,N,B,195,208,206,263,271,311,448,49
58,R,B,72,90,125,160,147,147,118,8
58,M,B,527,563,580,634,659,667,635,128
58,X,B,221,320,356,392,428,432,497,68
58,B,C,574,462,510,401,414,435,455,143
58,O,C,30,48,111,156,226,253,254,24
58,R,C,168,145,117,154,118,141,85,33
59,L,A,252,236,251,309,261,287,333,56
59,A,B,285,272,269,334,393,474,447,101
59,V,B,71,185,258,350,326,394,462,22
59,C,G,30,50,82,125,236,245,381,32
59,C,B,151,204,311,397,476,558,596,65
59,K,B,219,326,367,436,627,562,650,117
59,K,H,261,365,538,603,672,627,613,38
59,K,M,8,11,11,16,29,34,37,4
59,S,R,9,11,26,105,213,255,309,13
59,J,R,247,278,336,365,407,490,590,45
60,C,A,30,68,63,42,103,70,64,16
60,S,B,6,16,20,26,41,35,47,7
60,V,B,379,326,331,322,398,401,314,97
60,G,B,38,41,22,30,23,18,13,37
60,J,C,332,375,445,594,535,568,579,130
60,D,C,781,905,942,1136,1458,1661,2189,143
60,M,D,58,60,69,82,103,113,99,30
60,F,E,79,69,79,80,66,86,57,29
60,D,F,343,324,287,372,324,266,301,95
60,R,K,116,123,157,138,174,114,115,63
63,P,A,202,228,235,225,243,248,237,27
63,O,A,45,60,72,61,118,78,80,17
63,S,B,231,292,297,360,464,394,432,19
63,A,C,884,1013,1277,1181,1185,1116,1044,103
63,E,C,11,24,52,88,138,106,117,15
63,S,C,473,460,441,640,584,609,593,85
63,J,D,707,719,680,723,623,614,581,65
63,I,D,17,49,63,65,117,105,157,9
63,C,F,798,767,680,522,593,425,443,109
63,J,F,267,284,275,219,211,215,172,13
64,H,A,496,763,969,1150,1488,2489,3684,35
64,V,B,163,261,299,369,590,595,746,56
64,Z,C,90,83,103,92,131,258,401,41
64,B,C,870,895,719,685,668,614,536,168
64,E,D,19,28,62,86,107,141,143,19
64,R,E,203,227,231,252,251,211,199,57
64,M,G,248,595,955,1330,1717,1873,2155,49
64,K,J,22,13,39,39,48,52,52,11
64,Y,K,192,280,608,1012,1288,1436,1660,55
64,P,K,110,85,83,136,158,227,267,37
1,F,A,518,660,738,911,894,985,890,38
1,A,A,1086,1021,859,745,729,675,733,208
1,P,A,421,798,1115,1340,1592,1706,2331,64
1,M,A,882,1273,2069,2613,2922,3113,3237,116
1,J,A,369,663,845,1071,1329,1657,2293,83
1,R,B,1149,1548,1998,2874,3960,4488,5961,218
1,A,B,254,258,275,293,381,401,567,25
1,G,B,149,148,164,243,292,348,334,35
1,T,B,162,194,292,356,433,473,639,49
1,M,C,275,282,509,917,1338,1682,1932,48
2,M,A,1541,1514,1534,1510,1605,1581,2473,209
2,N,A,59,82,129,171,258,333,396,37
2,J,B,282,360,478,660,1083,1734,3327,97
2,D,B,6186,6339,6649,6813,6926,6921,7414,314
2,A,B,52,58,71,104,166,184,253,21
2,M,C,1365,1521,1515,1559,1619,1544,1519,131
2,R,D,2838,3262,3561,3696,4494,4824,5381,153
2,D,E,1064,1088,1026,1034,968,871,845,72
2,K,F,302,315,515,488,556,607,673,67
2,M,G,295,311,301,281,200,238,260,107
3,R,A,555,528,650,667,666,727,697,245
3,Y,T,283,418,566,730,953,1488,2109,107
3,L,C,1122,1179,1498,1832,2058,1961,2205,179
3,A,G,94,253,656,1096,1777,2333,3013,51
3,R,J,395,457,563,543,572,691,750,45
3,E,L,317,296,300,260,244,204,208,101
3,S,P,300,317,436,464,579,587,624,36
3,A,S,35,44,73,111,139,174,224,21
3,S,S,1601,1882,2087,2830,3256,3520,3994,261
3,S,T,297,338,328,445,390,473,482,68
